"","subject_name","risk_diff_unadjusted","odd_ratio_log","odd_ratio_lcb","odd_ratio_ucb","cor_ms_fd","glm_converge","fixed_ratio","list_of_files"
"1","Chart",-1.74095445053327e-16,NA,NA,NA,NA,FALSE,0.125,"Chart-11f.csv"
"2","Chart",-4.47390679375044e-05,0.999818780030247,0.998514926897424,1.00112433572449,-0.00272216403897336,TRUE,0.125,"Chart-12f.csv"
"3","Chart",0.00154812825157552,1.01674449656293,1.01537268449542,1.01811816200742,0.250172112801291,TRUE,0.125,"Chart-13f.csv"
"4","Chart",5.16795931549253e-17,NA,NA,NA,NA,FALSE,0.125,"Chart-17f.csv"
"5","Chart",2.75485688699482e-16,NA,NA,NA,NA,FALSE,0.125,"Chart-18f.csv"
"6","Chart",0.000953065229517041,1.00911965286384,1.0055496817148,1.01270229836825,0.0502688946962154,TRUE,0.125,"Chart-1f.csv"
"7","Chart",0.00213060340774621,1.01988895462573,0.959644491055761,1.08391543895929,0.00633953933214965,TRUE,0.125,"Chart-20f.csv"
"8","Chart",0.00255091102087559,1.01071987673116,1.00754841634554,1.01390131992338,0.0676200144304327,TRUE,0.125,"Chart-21f.csv"
"9","Chart",2.48166933767937e-16,NA,NA,NA,NA,FALSE,0.125,"Chart-22f.csv"
"10","Chart",0.034483522287676,1.28809653596084,1.27043763172147,1.30600089648327,0.414334287506897,TRUE,0.125,"Chart-23f.csv"
"11","Chart",1.27642033980455e-15,NA,NA,NA,NA,FALSE,0.125,"Chart-24f.csv"
"12","Chart",0.0344663926385985,1.21336167081907,1.20285825733943,1.22395680058701,0.515646187841156,TRUE,0.125,"Chart-25f.csv"
"13","Chart",-2.22792670918865e-05,0.99946280376564,0.99792179259742,1.00100619459471,-0.0068255446480995,TRUE,0.125,"Chart-26f.csv"
"14","Chart",-9.87151454094961e-05,0.999142333444214,0.996896994108178,1.00139273002163,-0.00747520014359476,TRUE,0.125,"Chart-3f.csv"
"15","Chart",-7.6548921096937e-16,NA,NA,NA,NA,FALSE,0.125,"Chart-5f.csv"
"16","Chart",0.0145745605632803,1.31100219094873,1.24756959004951,1.37766001863204,0.21037372019986,TRUE,0.125,"Chart-6f.csv"
"17","Chart",0.00084393257371959,1.00829457115863,0.996701465226834,1.02002252198615,0.0139836973277341,TRUE,0.125,"Chart-7f.csv"
"18","Chart",-6.35197603368546e-05,0.984004582070908,0.969048153859457,0.999191849940795,-0.0206847815362263,TRUE,0.125,"Chart-8f.csv"
"19","Chart",-2.10613497850683e-06,0.999981452176489,0.997199507568294,1.00277115773497,-0.000130491743765196,TRUE,0.125,"Chart-9f.csv"
"20","Closure",0.00277825097264463,1.04138086113117,1.0379796439441,1.04479322331364,0.283398780019352,TRUE,0.125,"Closure-100f.csv"
"21","Closure",0.0136677615148637,1.29159482685371,1.27176194281883,1.31173700091835,0.378273920508511,TRUE,0.125,"Closure-101f.csv"
"22","Closure",0.00259438874294095,1.02400936592733,1.02083752458935,1.0271910624844,0.151778653076543,TRUE,0.125,"Closure-102f.csv"
"23","Closure",0.00152720668919811,1.01056254031212,0.997395143737136,1.02390377003002,0.0157053530589876,TRUE,0.125,"Closure-104f.csv"
"24","Closure",0.000370437806716297,1.0034660548895,1.0030419572749,1.00389033181742,0.162905483337291,TRUE,0.125,"Closure-105f.csv"
"25","Closure",0.00120857814237002,1.00549797589667,1.00418285332264,1.00681482081377,0.0823778515766157,TRUE,0.125,"Closure-108f.csv"
"26","Closure",0.000153244872483812,1.00085825345889,0.999636377757793,1.00208162268329,0.013765706686013,TRUE,0.125,"Closure-109f.csv"
"27","Closure",0.00446446201457075,1.01824363898851,1.01026507660624,1.02628521201934,0.0450900463916559,TRUE,0.125,"Closure-111f.csv"
"28","Closure",-7.21600005602322e-05,0.999697107380632,0.998212669529918,1.00118375273261,-0.00399567234883175,TRUE,0.125,"Closure-112f.csv"
"29","Closure",0.000341768748876029,1.00136984653909,1.00045354131896,1.00228699099384,0.0293195793393679,TRUE,0.125,"Closure-113f.csv"
"30","Closure",0.000134655883715778,1.00053952116322,0.999845029740396,1.00123449497913,0.0152260543602556,TRUE,0.125,"Closure-114f.csv"
"31","Closure",0.000719190757319782,1.00416112493598,1.002806061972,1.00551801895755,0.0603928834215553,TRUE,0.125,"Closure-115f.csv"
"32","Closure",0.000512115374479067,1.00315375245205,1.00169752357145,1.00461209834153,0.0425258586124571,TRUE,0.125,"Closure-116f.csv"
"33","Closure",-0.000161566079631576,0.999345251698764,0.997498593773947,1.00119532832062,-0.00694062025510355,TRUE,0.125,"Closure-117f.csv"
"34","Closure",-0.000108744877300844,0.999559550140998,0.998163231439405,1.00095782213626,-0.0061769338213247,TRUE,0.125,"Closure-118f.csv"
"35","Closure",0.000493659435764021,1.00197938810911,0.999574329855428,1.00439023313124,0.0161297359992425,TRUE,0.125,"Closure-119f.csv"
"36","Closure",0.000110329332603504,1.00062364981554,0.99914823743986,1.00210124088863,0.00828143195812299,TRUE,0.125,"Closure-11f.csv"
"37","Closure",0.000783836475385745,1.00316574088051,1.00107706186647,1.00525877778086,0.0297383211612364,TRUE,0.125,"Closure-120f.csv"
"38","Closure",6.17133829184941e-05,1.00024984633251,0.998929128663525,1.00157231016658,0.00370576871769566,TRUE,0.125,"Closure-121f.csv"
"39","Closure",0.00115477964784219,1.00523179717337,1.002988634984,1.00747997614602,0.0458309683679831,TRUE,0.125,"Closure-122f.csv"
"40","Closure",0.000249961846233563,1.00101595900012,1.00050482511077,1.00152735401551,0.0389964061796129,TRUE,0.125,"Closure-123f.csv"
