"","subject_name","list_of_files","cor_ms_size","sig_diff_pval_lm","risk_diff_adjusted","risk_diff_unadjusted","lrt_fit_logit","glm_converged","lrt_fit_lm","odd_ratio_log","odd_ratio_lcb","odd_ratio_ucb","odd_ratio_p_val","odds_ratio_unadjust","odds_ratio_unadjust_p_val","cor_size_FD","partial_cor_size_FD","cor_MS_FD","partial_cor_MS_FD"
"139","Lang","Lang-63f.csv",0.638628657531326,3.63228595413701e-66,0.00250791593136286,0.0030039575537354,9.60316015304739e-30,TRUE,3.42899221285282e-66,1.02183666813661,1.02048851609727,1.02318660119936,1.17681550750843e-225,1.02582736263696,0,0.530619293801474,0.179671713333568,0.670193028838258,0.50797227283626
"140","Lang","Lang-64f.csv",0.427771861889096,1.12543259753463e-07,0.0184131212294378,0.0200186801979623,4.08935919044602e-13,TRUE,1.11908375814042e-07,1.17407555666045,1.15713378178949,1.19126537868058,7.55528112693426e-104,1.19944897905299,2.32196876838113e-155,0.181951765075746,0.0558889842148282,0.313195072384607,0.264808287486506
"141","Lang","Lang-6f.csv",0.565807639733619,7.87936099842324e-52,0.000516873248555891,0.00454294943689211,1.83983555470576e-34,TRUE,7.53407614207485e-52,1.06173009502657,1.0375191603604,1.0865060017721,3.58983815607221e-07,1.14281843423021,3.62086163789995e-37,0.198868971020497,0.158686085761631,0.121954936916562,0.0116739598213826
"142","Math","Math-100f.csv",0.656041094410243,0.107953368382369,0.00233185438306996,0.00222803990781209,0.308122694774795,TRUE,0.107884851576169,1.0712317161283,1.06665219543133,1.07583089835122,1.65865669005555e-217,1.07172846006419,9.75388404274559e-231,0.185559162665554,-0.0169462011679728,0.301435375704253,0.242309324702428
"143","Math","Math-101f.csv",0.67438782914703,1.67322832752225e-159,0.00357977800666547,0.00607473702851594,1.40861706951188e-104,TRUE,1.47391057210409e-159,1.02277071181358,1.02035120391832,1.02519595696718,1.76234202652924e-77,1.04166613297212,0,0.510030008374577,0.264346468682268,0.506775450626389,0.256356890790485
"144","Math","Math-103f.csv",0.460192457245204,3.93798601480509e-51,0.0049853326067382,0.00456542127144869,2.2557750262936e-05,TRUE,3.76776405220203e-51,1.0617486401691,1.04602046332988,1.07771330908027,3.58175379541804e-15,1.09068261808842,8.96892153827751e-67,0.200972697115118,-0.157588177351664,0.664034264134722,0.657174824501973
"145","Math","Math-104f.csv",0.369745982877772,0.000258212428902875,0.00294031830940007,0.00299183769336044,6.52467089729729e-71,TRUE,0.000257498249192634,1.00791170372995,1.00454668499692,1.01128799456336,3.86250481657125e-06,1.03954405723796,4.87648480565375e-139,0.272536609034023,0.0385094704459935,0.66480220202338,0.6309368353796
"146","Math","Math-105f.csv",0.519905694026696,1.00229682945093e-92,6.66946536322561e-05,0.00107440146277446,1.72262470640041e-57,TRUE,9.14694979316003e-93,1.010816713027,1.00644675287273,1.01520564741085,1.13316447478111e-06,1.03292087977443,8.85491639006687e-34,0.265829269872604,0.225461620257191,0.144763474802471,0.00796285721468052
"147","Math","Math-106f.csv",0.738054393777093,1.58793233079426e-90,0.0060734778982885,0.0112568805806086,3.45384907696184e-76,TRUE,1.47850346127569e-90,1.03469872267148,1.03088959080095,1.03852192926517,1.95873570924887e-73,1.05836285117637,0,0.438181307219848,0.199759242822189,0.428708276847477,0.173625533636509
"148","Math","Math-11f.csv",0.633214700483586,1.38700917025584e-129,0.00373016427370745,0.00570006910547573,6.57564898625582e-79,TRUE,1.23731397563399e-129,1.03221705987604,1.02952660897188,1.03491454170684,2.46384104655163e-125,1.04494020110317,2.02587810689883e-248,0.490815986035944,0.251239162677596,0.511183764046984,0.297168716757574
"149","Math","Math-12f.csv",0.643906243346254,2.69330506312001e-116,0.00021636683188077,0.002611136273161,4.39259595206725e-71,TRUE,2.43130213825816e-116,1.01191122131538,1.00827105248954,1.01556453227105,1.19668129028644e-10,1.03428680478961,2.36621620648084e-77,0.315539969588041,0.238197836733682,0.213536107989572,0.0142668174099767
"150","Math","Math-18f.csv",0.623443894571383,5.25141266628902e-50,1.30764637591216e-05,8.80901677644625e-05,5.97136225530869e-35,TRUE,5.02945784245732e-50,1.00120197676162,1.00080630165625,1.00159780829965,2.57928899697866e-09,1.00247678298715,5.84765042753093e-35,0.210543910677935,0.155803662993826,0.144362726996868,0.017139461798179
"151","Math","Math-21f.csv",0.62671571324548,2.29276058122867e-115,0.00242664026941607,0.00447612097473833,8.13291817283809e-75,TRUE,2.07144181858834e-115,1.02575095078893,1.02294948913719,1.02856008455692,3.51668427932447e-74,1.03837920229854,1.99730719117691e-149,0.411736208952931,0.237254881276723,0.384675210940221,0.178324343989601
"152","Math","Math-22f.csv",0.632056628059351,3.06518209771307e-20,0.00241232624749956,0.00219847044934209,8.11925060593255e-41,TRUE,3.00808990161408e-20,1.00977197852252,1.00714702087875,1.01240377767254,2.43584216477497e-13,1.0253939110264,9.198499555113e-197,0.352316614842055,-0.102794742842017,0.652876126835088,0.593176219616391
"153","Math","Math-23f.csv",0.514073029957958,1.99015711159957e-46,1.77304934787234e-05,0.000241892579827568,2.67789697976111e-40,TRUE,1.91213005750781e-46,1.00292695422335,1.00130937216248,1.00454714943435,0.000386988392839106,1.00710279367585,2.54787129208839e-13,0.177674926946486,0.149980247545275,0.0965443533938493,0.00616807418074756
"154","Math","Math-24f.csv",0.459021937536887,5.58052859138422e-106,5.55671301940118e-05,0.000522067672443814,1.16270351845149e-83,TRUE,5.08427396375633e-106,1.00661972215905,1.00395283110864,1.00929369751427,1.09031695607594e-06,1.01878172789307,5.21430337184028e-17,0.260249814963266,0.227494584094957,0.130416725211268,0.0127724535723777
"155","Math","Math-25f.csv",0.61782085494007,1.5986237799795e-143,0.000794141214124174,0.00163498093050926,1.0966861113385e-114,TRUE,1.38634088098703e-143,1.00612483466434,1.00536876512477,1.00688147279244,4.6046176000426e-57,1.01032112931763,1.67923881396376e-166,0.444808430755683,0.279547207626039,0.392767317637859,0.167491406191558
"156","Math","Math-26f.csv",0.660356681913578,4.80353945926635e-117,8.85367189418068e-05,0.00101735953941652,2.84952164765357e-58,TRUE,4.33335648620427e-117,1.00561247162708,1.00406864503705,1.00715867195973,9.34795038028847e-13,1.01512636343557,2.04228201209528e-80,0.322983794026615,0.238953914562541,0.224291967439586,0.0154880992327619
